slug,icon,titre,texte
sao-paulo,🎨,Musées & culture,"Toute l'année — MASP, Pinacoteca, street art de Beco do Batman."
sao-paulo,🎵,Vie nocturne,"Toute l'année — clubs de Vila Madalena, samba de Pinheiros."
sao-paulo,💰,Budget,"Mars-mai — après carnaval, prix stabilisés, temps agréable."
salvador-de-bahia,🏘️,Pelourinho coloré,"Toute l'année — centre historique UNESCO, maisons pastel, capoeira."
salvador-de-bahia,💃,Capoeira & candomblé,"Toute l'année — cours de capoeira, cérémonies afro-brésiliennes."
salvador-de-bahia,🏖️,Plages urbaines,"Décembre-mars — Farol da Barra, Porto da Barra, eau à 28°C."
salvador-de-bahia,🎭,Carnaval,"Février-mars — plus grand carnaval de rue au monde, trios elétricos."
cusco,🏛️,Machu Picchu,"Mai-septembre — saison sèche, trek du Chemin de l'Inca 4 jours."
cusco,🏘️,Plaza de Armas,"Toute l'année — murs incas, cathédrale coloniale, quartier San Blas."
cusco,🌄,Vallée Sacrée,"Avril-octobre — Ollantaytambo, Pisac, Moray, salines de Maras."
cusco,💰,Budget,"Novembre-mars — pluies mais prix -40%, Machu Picchu sans foule."
lima,🍽️,Capitale gastronomique,"Toute l'année — ceviche, restaurants Central et Maido, Mistura festival."
lima,🏛️,Centro historique & Miraflores,"Avril-novembre — Plaza Mayor, Huaca Pucllana, malecón de Miraflores."
lima,🌊,Surf & parapente,"Toute l'année — surf à Punta Hermosa, parapente depuis Costa Verde."
lima,💰,Budget,"Décembre-mars — été limeño, marchés locaux très abordables."
cartagena,🏰,Ville fortifiée,"Décembre-avril — remparts UNESCO, balcons fleuris, Plaza Santo Domingo."
cartagena,🏝️,Îles du Rosaire,"Décembre-avril — excursion en bateau, snorkel, plages de sable blanc."
cartagena,🎵,Salsa & nightlife,"Toute l'année — salsa dans Getsemaní, bars de la Ciudad Amurallada."
cartagena,🍽️,Cuisine caraïbe,"Toute l'année — ceviche, arepas de huevo, fruits exotiques, Bazurto."
montevideo,🏖️,Rambla de 22 km,"Novembre-mars — promenade côtière, plages de Pocitos et Carrasco."
montevideo,🍖,Asado & marché,"Toute l'année — Mercado del Puerto, grillades, tannat uruguayen."
montevideo,🎵,Tango & candombe,"Toute l'année — milongas, Barrio Sur, tambours du candombe."
montevideo,💰,Budget,"Avril-octobre — hors saison, hôtels -30%, ambiance locale."
quito,🏛️,Centro historique UNESCO,"Toute l'année — plus grande ville coloniale d'Amérique, à 2 850 m."
quito,🌋,Avenue des Volcans,"Juin-septembre — Cotopaxi, Chimborazo, ciel dégagé, randonnée."
quito,🌍,Ligne de l'Équateur,"Toute l'année — Mitad del Mundo, expériences Coriolis."
quito,💰,Budget,"Toute l'année — ville très abordable, dollar US, cuisine locale pas chère."
la-paz,🚡,Téléphériques urbains,"Toute l'année — Mi Teleférico, vue sur l'Illimani et El Alto."
la-paz,🏜️,Salar d'Uyuni,"Mai-octobre — miroir de sel à 4h en avion, effet miroir en saison humide."
la-paz,🛍️,Marché des sorcières,"Toute l'année — Mercado de las Brujas, remèdes traditionnels aymaras."
la-paz,💰,Budget,"Toute l'année — l'une des capitales les moins chères du monde."
asuncion,🏛️,Missions jésuites,"Avril-octobre — Trinidad et Jesús UNESCO, ruines dans la jungle."
asuncion,🌿,Pantanal paraguayen,"Juin-octobre — faune du Chaco, observation jaguars et caïmans."
asuncion,🧉,Culture du tereré,"Toute l'année — boisson glacée nationale, partage convivial."
asuncion,💰,Budget,"Toute l'année — destination ultra-abordable, cuisine guarani."
bariloche,🏔️,Lacs glaciaires & Andes,"Décembre-mars — Nahuel Huapi, Circuit des 7 Lacs, randonnée."
bariloche,⛷️,Ski Cerro Catedral,"Juillet-septembre — plus grande station d'Amérique du Sud."
bariloche,🍫,Chocolat artisanal,"Toute l'année — 50+ chocolateries sur l'Avenida Mitre."
bariloche,💰,Budget,"Avril-juin — automne spectaculaire, prix hors saison."
san-jose,🌋,Volcans à portée,"Toute l'année — Poás, Irazú, Arenal à 3h, forêts de nuage."
san-jose,🐸,Biodiversité,"Décembre-avril — saison sèche, 5% de la biodiversité mondiale."
san-jose,🏖️,Deux côtes à 3h,"Décembre-avril — Pacifique ou Caraïbe, surf ou snorkel."
san-jose,💰,Budget,"Mai-novembre — saison verte, lodges -30%, nature luxuriante."
antigua-guatemala,🌋,Volcans fumants,"Novembre-avril — ascension Acatenango, vue sur Fuego en éruption."
antigua-guatemala,🏛️,Ruines baroques,"Toute l'année — églises en ruine, arche Santa Catalina, pavés."
antigua-guatemala,🛍️,Marchés mayas,"Toute l'année — Chichicastenango à 2h, textiles colorés, céramiques."
antigua-guatemala,☕,Café guatémaltèque,"Toute l'année — fincas de café, dégustation des meilleurs crus."
san-juan,🏰,El Morro,"Toute l'année — forteresse du XVI°, vue panoramique sur la baie."
san-juan,🏘️,Vieille ville colorée,"Décembre-avril — rues pavées, façades pastel, musique live."
san-juan,🍹,Rhum & cuisine créole,"Toute l'année — Casa Bacardí, mofongo, piña colada originelle."
san-juan,🏖️,Plages de Condado,"Décembre-mai — plage urbaine, surf et farniente."
nassau,🏖️,Plage de sable rose,"Novembre-avril — Harbour Island, 5 km de sable rosé."
nassau,🐷,Cochons nageurs d'Exuma,"Novembre-mai — Big Major Cay, snorkel et cochons en excursion."
nassau,🤿,Récifs & épaves,"Toute l'année — plongée sur les récifs d'Andros et le Tongue of the Ocean."
nassau,💰,Budget,"Juin-octobre — hors saison, resorts -40% malgré chaleur."
turks-et-caicos,🏖️,Grace Bay Beach,"Novembre-mai — classée parmi les plus belles plages du monde."
turks-et-caicos,🐋,Baleines à bosse,"Janvier-avril — passage des baleines, observation depuis Providenciales."
turks-et-caicos,🤿,Plongée murale,"Toute l'année — murs coralliens de 2 000 m, eaux les plus claires des Caraïbes."
turks-et-caicos,💰,Budget,"Septembre-octobre — tarifs les plus bas, eau toujours chaude."
denver,🏔️,Rocheuses à 1h,"Toute l'année — Rocky Mountain NP, randonnée, ski Winter Park."
denver,🍺,Brasseries artisanales,"Toute l'année — 150+ brasseries, RiNo Art District, Coors à Golden."
denver,🎿,Ski Colorado,"Décembre-mars — Breckenridge, Vail, Keystone à 2h de route."
denver,💰,Budget,"Septembre-octobre — Indian Summer, Rocheuses dorées, hôtels raisonnables."
nashville,🎵,Honky-tonks de Broadway,"Toute l'année — musique live gratuite, country, bars de Lower Broadway."
nashville,🍗,Hot chicken,"Toute l'année — Prince's, Hattie B's, Bolton's — invention locale."
nashville,🎸,Country Music Hall of Fame,"Toute l'année — Ryman Auditorium, Grand Ole Opry."
nashville,💰,Budget,"Janvier-mars — hors saison festivals, hôtels -30%."
la-nouvelle-orleans,🎷,Jazz & French Quarter,"Toute l'année — Bourbon Street, Preservation Hall, musiciens de rue."
la-nouvelle-orleans,🎭,Mardi Gras,"Février-mars — défilés, masques et perles, plus grand carnaval des USA."
la-nouvelle-orleans,🍽️,Cuisine créole,"Toute l'année — gumbo, jambalaya, po'boys, beignets au Café du Monde."
la-nouvelle-orleans,💰,Budget,"Juin-août — chaleur mais festivals locaux, hôtels -40%."
savannah,🌳,Squares historiques,"Mars-mai — 22 squares ombragés, chênes drapés de mousse espagnole."
savannah,🏛️,Maisons antebellum,"Toute l'année — Mercer-Williams House, Forsyth Park, trolley tours."
savannah,🍽️,Cuisine Low Country,"Toute l'année — shrimp & grits, pralines, restaurants de River Street."
savannah,💰,Budget,"Janvier-février — hiver doux 15°C, hôtels pas chers."
auckland,⛵,City of Sails,"Novembre-mars — régate, voile dans le Hauraki Gulf, île Rangitoto."
auckland,🌋,Volcans urbains,"Toute l'année — 53 volcans éteints, vue 360° depuis One Tree Hill."
auckland,🍷,Waiheke Island,"Novembre-mars — vignobles, plages, ferry 40 min depuis le centre."
auckland,💰,Budget,"Mai-septembre — hiver doux, vols et hébergement -30%."
queenstown,🪂,Saut à l'élastique,"Toute l'année — Kawarau Bridge (berceau du bungee), Nevis 134 m."
queenstown,⛷️,Ski Remarkables,"Juin-octobre — ski vue lac Wakatipu, Coronet Peak, neige garantie."
queenstown,🏞️,Milford Sound,"Toute l'année — croisière dans le fjord, cascades spectaculaires."
queenstown,🍷,Vins de Central Otago,"Janvier-avril — pinot noir le plus austral du monde, caves."
rotorua,♨️,Geysers & sources chaudes,"Toute l'année — Te Puia, Wai-O-Tapu, bains dans les sources chaudes."
rotorua,🏛️,Culture maorie,"Toute l'année — haka, hangi traditionnel, village Te Whakarewarewa."
rotorua,🌲,Forêt de Redwoods,"Toute l'année — Treewalk suspendu, VTT, sentiers dans les sequoias."
rotorua,💰,Budget,"Mai-septembre — hiver, sources chaudes encore mieux, prix bas."
darwin,🐊,Kakadu & crocodiles,"Mai-octobre — parc national UNESCO, art rupestre, billabongs."
darwin,🌅,Mindil Beach Market,"Avril-octobre — marché nocturne, coucher de soleil, cuisine asiatique."
darwin,🎣,Pêche barramundi,"Mai-novembre — saison sèche, rivières accessibles, Top End sauvage."
darwin,💰,Budget,"Novembre-mars — wet season mais orages spectaculaires, prix -40%."
hobart,🎨,MONA,"Toute l'année — musée d'art contemporain souterrain, ferry depuis la ville."
hobart,🛍️,Salamanca Market,"Samedi — plus grand marché de Tasmanie, produits artisanaux."
hobart,🏔️,Mount Wellington,"Toute l'année — kunanyi, vue jusqu'à Bruny Island, neige en hiver."
hobart,🍽️,Cuisine tasmanienne,"Toute l'année — huîtres, fromages, whisky, ferme-à-table."
adelaide,🍷,Barossa Valley,"Mars-mai — vendanges, shiraz de classe mondiale, caves historiques."
adelaide,🏖️,Plages de Glenelg,"Novembre-mars — tram vintage jusqu'au sable, dauphins, 28°C."
adelaide,🎭,Festivals culturels,"Février-mars — Adelaide Fringe, 2ème plus grand festival au monde."
adelaide,💰,Budget,"Juin-août — hiver doux, vins et restaurants abordables."
samoa,🏊,To Sua Ocean Trench,"Toute l'année — gouffre de baignade entouré de jungle, expérience unique."
samoa,🌊,Plages de lave,"Mai-octobre — saison sèche, plages désertes, eau à 28°C."
samoa,🏛️,Culture fa'a Samoa,"Toute l'année — villages traditionnels, dimanche sacré, tatouage pe'a."
samoa,💰,Budget,"Novembre-avril — saison humide mais authentique et prix bas."
vanuatu,🌋,Volcan Yasur,"Toute l'année — volcan accessible en éruption permanente sur Tanna."
vanuatu,🏊,Blue Holes,"Avril-octobre — trous bleus de Santo, Nanda, eaux turquoise."
vanuatu,🏛️,Culture kastom,"Toute l'année — villages traditionnels, danse du saut du gaul."
vanuatu,💰,Budget,"Novembre-mars — saison humide mais volcans et culture toujours accessibles."
tonga,🐋,Baleines à bosse,"Juillet-octobre — nage avec les baleines, unique au monde."
tonga,🏖️,Récifs immaculés,"Mai-octobre — snorkel sur coraux préservés, eau cristalline."
tonga,🏛️,Ha'amonga Trilithon,"Toute l'année — Stonehenge du Pacifique, mystère polynésien."
tonga,💰,Budget,"Novembre-mars — hors saison baleines, hébergement local abordable."
teheran,🏛️,Palais du Golestan,"Mars-mai ou sep-nov — patrimoine Qajar UNESCO, jardins persans."
teheran,🛍️,Grand Bazar,"Toute l'année — plus grand bazar couvert d'Iran, épices, tapis."
teheran,🏔️,Ski Dizin & Tochal,"Décembre-mars — stations à 1h du centre, enneigement garanti."
teheran,🍽️,Cuisine persane,"Toute l'année — chelow kabab, tahdig, ash reshteh dans les maisons de thé."
ispahan,🕌,Place Naqsh-e Jahan,"Mars-mai ou sep-nov — l'une des plus grandes places du monde, mosquées."
ispahan,🌉,Ponts séfévides,"Toute l'année — Si-o-se-pol, Khaju Bridge, promenade nocturne."
ispahan,🎨,Mosaïques & artisanat,"Toute l'année — ateliers de miniatures, marqueterie, bazar des artisans."
ispahan,💰,Budget,"Novembre-février — hiver, prix très bas, sites sans touristes."
hue,🏯,Citadelle impériale,"Février-avril — palais de la dynastie Nguyen, jardins et portes royales."
hue,🛕,Tombeaux royaux,"Février-mai — tombeaux de Minh Mang, Khai Dinh, forêt tropicale."
hue,🍜,Cuisine de Hué,"Toute l'année — bun bo Hue, banh khoai, cuisine de cour raffinée."
hue,💰,Budget,"Septembre-novembre — post-mousson, prix très bas, ruines sans foule."
maputo,🏛️,Architecture Art Déco,"Mai-octobre — gare ferroviaire, cathédrale, Mercado Central."
maputo,🦐,Fruits de mer,"Toute l'année — crevettes grillées piri-piri, Feira do Peixe."
maputo,🏖️,Plages d'Inhambane,"Mai-octobre — Tofo à 6h, plongée raies manta, sable blanc."
maputo,🎵,Marrabenta & nightlife,"Toute l'année — musique live, bars du centre-ville, ambiance festive."
windhoek,🏜️,Dunes de Sossusvlei,"Mai-octobre — plus hautes dunes du monde, lever de soleil spectaculaire."
windhoek,🦁,Etosha à 5h,"Juin-octobre — safari saison sèche, points d'eau, éléphants du désert."
windhoek,🍺,Culture brassicole,"Toute l'année — Windhoek Lager, influence allemande, Joe's Beerhouse."
windhoek,💰,Budget,"Novembre-mars — saison verte, lodges -40%, paysages verdoyants."
charleston,🏘️,Rainbow Row,"Mars-mai — maisons pastel de King Street, jardins de Battery Park."
charleston,🍽️,Cuisine Low Country,"Toute l'année — she-crab soup, shrimp & grits, restaurants primés."
charleston,🏖️,Plages,"Mai-septembre — Folly Beach, Isle of Palms, Sullivan's Island."
charleston,💰,Budget,"Janvier-février — hiver doux 14°C, hôtels -30%, charme intact."
bichkek,🏔️,Ala-Archa & treks alpins,"Juin-septembre — gorge à 45 min, treks de haute altitude, 4 000 m."
bichkek,🏕️,Lac Issyk-Koul,"Juillet-août — 2ème plus grand lac alpin, plages et yourtes."
bichkek,🐴,Culture nomade,"Juin-septembre — yourtes, kumis, jeux équestres, World Nomad Games."
bichkek,💰,Budget,"Toute l'année — l'un des pays les moins chers d'Asie centrale."
agra,🕌,Taj Mahal à l'aube,"Octobre-mars — lever du soleil face au monument, lumière dorée."
agra,🏰,Fort d'Agra,"Octobre-mars — forteresse moghole UNESCO, vue sur le Taj."
agra,🏛️,Fatehpur Sikri,"Octobre-mars — cité moghole fantôme à 40 km, grès rouge."
agra,🍛,Cuisine moghole,"Toute l'année — petha confiserie locale, kebabs, biryani."
pondicherry,🏘️,Quartier français,"Toute l'année — rues coloniales, cafés, bougainvilliers et façades pastel."
pondicherry,🧘,Auroville & ashram,"Toute l'année — Matrimandir, cité utopique, méditation."
pondicherry,🏖️,Plages,"Novembre-mars — Paradise Beach, Serenity Beach, saison sèche."
pondicherry,🍛,Cuisine franco-indienne,"Toute l'année — crêpes au curry, dosas, cafés de la rue Suffren."
honolulu,🏖️,Waikiki Beach,"Toute l'année — surf, Diamond Head à pied, 26°C quasi permanent."
honolulu,🌺,Luau & culture hawaïenne,"Toute l'année — polynesian cultural center, lei, hula traditionnel."
honolulu,🤿,Snorkel Hanauma Bay,"Toute l'année — baie volcanique, tortues, poissons tropicaux."
honolulu,💰,Budget,"Septembre-novembre — hors été, vols et resorts -25%."
austin,🎵,Live music 6th Street,"Toute l'année — capitale mondiale de la musique live, 250 salles."
austin,🍖,BBQ texan,"Toute l'année — Franklin Barbecue, brisket, file d'attente légendaire."
austin,🎭,SXSW & festivals,"Mars — South by Southwest, tech, musique et cinéma."
austin,🏊,Barton Springs,"Avril-octobre — piscine naturelle à 20°C, cœur de la ville."
san-diego,🐘,Zoo de San Diego,"Toute l'année — l'un des meilleurs zoos du monde, 3 700 animaux."
san-diego,🏖️,Plages & surf,"Toute l'année — La Jolla, Pacific Beach, Coronado, 300 jours de soleil."
san-diego,🍺,Gaslamp Quarter,"Toute l'année — quartier historique, brasseries craft, restaurants."
san-diego,🌮,Tacos & cuisine mexi-cali,"Toute l'année — fish tacos, burritos, frontière mexicaine à 30 min."
portland,🍺,Brasseries craft,"Toute l'année — 70+ brasseries, pionniers du craft beer américain."
portland,🍽️,Food carts,"Toute l'année — 500+ food carts, cuisine du monde entier."
portland,🌲,Columbia River Gorge,"Mai-octobre — Multnomah Falls, randonnée, kayak."
portland,🌸,Saison des roses,"Juin — Portland Rose Festival, jardin japonais, jardins de roses."
florianopolis,🏖️,42 plages,"Décembre-mars — Joaquina (surf), Lagoinha do Leste (trek), Campeche."
florianopolis,🏄,Surf brésilien,"Avril-septembre — houle sud, Praia Mole, championnats."
florianopolis,🌄,Dunes de Joaquina,"Toute l'année — sandboard, dunes de sable blanc, lagunes."
florianopolis,💰,Budget,"Avril-novembre — hors été, hébergement -50%, plages désertes."
rarotonga,🏖️,Lagon turquoise,"Mai-octobre — snorkel dans le lagon, Muri Beach, eau à 25°C."
rarotonga,🏔️,Cross-Island Trek,"Avril-novembre — traversée de l'île, jungle, cascade Te Rua Manga."
rarotonga,🛵,Tour de l'île,"Toute l'année — scooter en 1h, plages, villages, marchés du samedi."
rarotonga,💰,Budget,"Novembre-mars — saison humide mais Polynésie abordable."
phoenix,🌵,Désert de Sonora,"Octobre-avril — cactus saguaro géants, Desert Botanical Garden."
phoenix,🥾,Camelback Mountain,"Octobre-avril — randonnée phare, vue sur la ville, lever de soleil."
phoenix,🧖,Spas du désert,"Toute l'année — Scottsdale, spa resorts de luxe, bien-être."
phoenix,💰,Budget,"Mai-septembre — chaleur extrême mais tarifs -60%, piscines partout."
iguazu,💧,Garganta del Diablo,"Toute l'année — gorge du Diable, 275 cascades, passerelles au-dessus."
iguazu,🦜,Côté brésilien,"Mars-mai — vue panoramique, arc-en-ciel permanent, toucans."
iguazu,🌿,Jungle subtropicale,"Avril-juin — sentiers écologiques, papillons, coatis."
iguazu,💰,Budget,"Septembre-novembre — basse saison, hôtels -30%, débit encore fort."
noumea,🏖️,Lagon UNESCO,"Mai-novembre — plus grand lagon du monde, Île des Pins, eau à 24°C."
noumea,🤿,Récif corallien,"Toute l'année — 2ème barrière de corail au monde, raies, tortues."
noumea,🏛️,Culture kanak,"Toute l'année — Centre Tjibaou de Renzo Piano, sculptures, coutumes."
noumea,💰,Budget,"Décembre-mars — saison chaude, vols promo depuis l'Australie."
tahiti,🏄,Surf Teahupo'o,"Mai-octobre — l'une des vagues les plus dangereuses au monde."
tahiti,🏖️,Plages de sable noir,"Toute l'année — Point Venus, Papara, cocotiers et lagon."
tahiti,🌺,Jardins & cascades,"Toute l'année — cascades de Faarumai, jardin botanique, vahinés."
tahiti,💰,Budget,"Novembre-mars — saison humide, vols et pensions -30%."
monteverde,🌿,Forêt de nuage,"Décembre-mai — pont suspendu, canopée, quetzal resplendissant."
monteverde,🦅,Observation d'oiseaux,"Janvier-mai — quetzal, 400+ espèces, randonnées guidées."
monteverde,🪂,Zipline & aventure,"Toute l'année — tyrolienne dans la canopée, ponts suspendus."
monteverde,💰,Budget,"Juin-novembre — saison verte, lodges -30%, forêt luxuriante."
larnaca,🏖️,Promenade Finikoudes,"Mai-octobre — palmiers, eau claire, promenade animée."
larnaca,🦩,Lac salé & flamants,"Novembre-mars — flamants roses, mosquée Hala Sultan Tekke."
larnaca,🤿,Plongée épave Zenobia,"Toute l'année — ferry suédois coulé en 1980, top 10 mondial."
larnaca,💰,Budget,"Novembre-mars — vols pas chers, douceur hivernale 17°C."
peloponnese,🏛️,Olympie & Mycènes,"Mars-mai ou sep-nov — sites antiques sans la chaleur estivale."
peloponnese,🎭,Théâtre d'Épidaure,"Juin-août — acoustique parfaite, festival de théâtre antique."
peloponnese,🏖️,Plages sauvages,"Juin-septembre — Voidokilia, Elafonisos, Foneas, sable fin."
peloponnese,💰,Budget,"Octobre-novembre — mer encore chaude, villages sans touristes."
ohrid,🏛️,Églises byzantines,"Mai-septembre — Saint-Jean de Kaneo sur la falaise, fresques médiévales."
ohrid,🏖️,Lac UNESCO,"Juin-août — baignade dans le plus ancien lac d'Europe, 26°C."
ohrid,🐟,Truite d'Ohrid,"Toute l'année — espèce endémique, restaurants du bord de lac."
ohrid,💰,Budget,"Mai ou septembre — épaule de saison, Balkans ultra-abordables."
alacati,🏄,Windsurf & kitesurf,"Mai-octobre — l'un des meilleurs spots au monde, vent meltemi régulier."
alacati,🏘️,Village de pierre,"Toute l'année — ruelles fleuries, maisons grecques, boutiques."
alacati,🍷,Vignobles d'Urla,"Septembre-octobre — route des vins de la côte égéenne."
alacati,💰,Budget,"Novembre-mars — village sans foule, prix locaux."
funchal,🌺,Jardin tropical & levadas,"Toute l'année — randonnée le long des canaux d'irrigation, Monte Palace."
funchal,🛷,Descente en toboggan,"Toute l'année — toboggan traditionnel en osier depuis Monte."
funchal,🍷,Vin de Madère,"Toute l'année — caves Blandy's, dégustations, producteur depuis 1811."
funchal,💰,Budget,"Novembre-mars — vols pas chers, printemps éternel 19°C."
budva,🏖️,Plages adriatiques,"Juin-septembre — Mogren, Bečići, Sveti Stefan à côté."
budva,🏰,Vieille ville fortifiée,"Toute l'année — citadelle vénitienne, ruelles de pierre, cafés."
budva,🎵,Sea Dance Festival,"Juillet — festival de musique sur la plage Jaz."
budva,💰,Budget,"Mai ou septembre — Riviera du Monténégro à prix doux."
trogir,🏛️,Ville-île UNESCO,"Toute l'année — cathédrale Saint-Laurent, palais vénitiens, ruelles."
trogir,🏖️,Plages & îles,"Juin-septembre — Okrug Gornji, Čiovo Island, eaux cristallines."
trogir,⛵,Voile en Dalmatie,"Mai-octobre — base de départ croisière entre les îles croates."
trogir,💰,Budget,"Mai ou octobre — Split à 30 min, hôtels moins chers qu'en ville."
göteborg,🏝️,Archipel de Göteborg,"Juin-août — ferry vers les îles, baignade, villages de pêcheurs."
göteborg,🍽️,Scène food scandinave,"Toute l'année — Feskekôrka (halle aux poissons), restaurants Michelin."
göteborg,🎡,Liseberg,"Mai-décembre — plus grand parc d'attractions de Scandinavie."
göteborg,💰,Budget,"Septembre-novembre — hors été, prix raisonnables, ambiance cozy."
innsbruck,🏔️,Nordkette en téléphérique,"Toute l'année — 2 300 m en 20 min depuis le centre, vue Tyrol."
innsbruck,⛷️,Ski olympique,"Décembre-avril — Bergisel, Axamer Lizum, sites des JO 1964 et 1976."
innsbruck,🏛️,Vieille ville baroque,"Toute l'année — Goldenes Dachl, Hofburg, rues Maria-Theresien."
innsbruck,🍺,Cuisine tyrolienne,"Toute l'année — Tiroler Gröstl, Kaspressknödel, brasseries locales."
ghent,🏛️,Agneau mystique,"Toute l'année — chef-d'œuvre de Van Eyck à la cathédrale Saint-Bavon."
ghent,🏞️,Canaux & Graslei,"Toute l'année — quais médiévaux, bateau, château des Comtes."
ghent,🍺,Bières & cuisine flamande,"Toute l'année — Gruut, waterzooi, marchés artisanaux."
ghent,🎭,Festival des Gentse Feesten,"Juillet — 10 jours de fêtes, musique, rue culturelle."
hallstatt,🏔️,Village & lac alpin,"Mai-septembre — vue carte postale, reflet dans le lac."
hallstatt,⛏️,Mines de sel,"Toute l'année — plus anciennes mines au monde, 7 000 ans d'histoire."
hallstatt,🥾,Skywalk & 5 Fingers,"Mai-octobre — plateforme panoramique au-dessus du vide, Dachstein."
hallstatt,💰,Budget,"Novembre-mars — moins de touristes, paysage enneigé, prix réduits."
lviv,☕,Cafés & chocolat,"Toute l'année — Lviv Coffee Mining Manufacture, Chocolate Factory."
lviv,🏛️,Centre Habsbourg,"Toute l'année — opéra, place Rynok, églises baroques et arméniennes."
lviv,🍺,Culture brassicole,"Toute l'année — Pravda Beer Theatre, brasseries artisanales."
lviv,💰,Budget,"Toute l'année — l'une des villes les plus abordables d'Europe."
