slug,icon,title,text
porto,🥾,Douro Hiking,"September–October — harvest, train to Peso da Régua."
porto,👨‍👩‍👧,Family,"June–August — Matosinhos beaches 20 min away, summer festivals."
porto,💰,Budget,"November–March — affordable flights + hotels, cheaper than Lisbon."
prague,🏰,Castle & Old Town,"April-May or September-October — living UNESCO site, Baroque and Gothic architecture."
prague,🍺,Beer & Food,"Year-round — world's best beer (Pilsner Urquell), guláš."
prague,🎄,Christmas Markets,"December — Old Town Square, among the finest in Europe."
prague,🎵,Classical Music,"Year-round — Dvořák, Smetana, concerts in palaces."
prague,👨‍👩‍👧,Family,"June–August — Prague Zoo, boats on the Vltava, Wallenstein Gardens."
prague,💰,Budget,"November–March — accommodation -35%, cheaper than Western Europe."
provence,💜,Lavender,"June–July — Plateau de Valensole, Sénanque Abbey, peak mid-July."
provence,🍷,Vineyards & Rosé,"September–October — harvest, wine route, Provence AOP rosé."
provence,🏛️,Hilltop & Ancient Villages,"April-May or September — Les Baux, Gordes, Pont du Gard."
provence,🥾,Luberon Hiking,"April–June or September — Verdon Gorge, Montagne Sainte-Victoire."
provence,👨‍👩‍👧,Family,"July–August — colourful markets, lavender, Verdon Gorge."
provence,🍽️,Food & Dining,"Year-round — tapenade, herbes de Provence, truffles (December–January)."
reunion,🌋,Piton de la Fournaise,"Year-round — one of the world's most active volcanoes, accessible lava flows."
reunion,🥾,Cirques Hiking,"May-November — Cilaos, Mafate, Salazie, Piton des Neiges."
reunion,🏄,Surf & Lagoon,"November–April — Saint-Leu, protected lagoon, competition-level waves."
reunion,🤿,Diving,"Year-round — sharks, turtles, tropical fish."
reunion,👨‍👩‍👧,Family,"July–August — lagoon, waterfalls, accessible trails."
reunion,💰,Budget,"May–August — tourist off-season, affordable accommodation."
reykjavik,🌌,Northern Lights,"September-March — long nights, KP index > 2, Þingvellir ideal."
reykjavik,🌋,Geysers & Geothermal,"Year-round — Golden Circle, Blue Lagoon, Geysir geysers."
reykjavik,🐳,Whale Watching,June–August — humpback whales in Faxaflói bay.
reykjavik,🧖,Hot Springs,"Year-round — Sky Lagoon, Reykjadalur, natural hot springs."
reykjavik,👨‍👩‍👧,Family,"July–August — midnight sun, Perlan, strolls through green Iceland."
reykjavik,💰,Budget,"November–March — affordable flights, northern lights, cheaper Blue Lagoon."
rhodes,🏖️,Beach,"June–September — Tsambika, Anthony Quinn Bay, Lindos, water 26°C."
rhodes,🏰,Medieval Old Town,"April–May or October — UNESCO site, Grand Master's Palace."
rhodes,🦋,Valley of Butterflies,"July–August — Petaloudes, unique natural phenomenon in Rhodes."
rhodes,🤿,Diving,"June–September — crystal-clear waters, WWII wrecks."
rhodes,👨‍👩‍👧,Family,"June or September — warm sea, family beaches, fewer crowds."
rhodes,💰,Budget,"May or October — pleasant sea, accommodation prices -35%."
rio-de-janeiro,🎉,Carnival,"February–March — Sambódromo, blocos de rua, one of the world's greatest spectacles."
rio-de-janeiro,🏖️,Ipanema & Copacabana,"December–March — Brazilian summer, lively beaches, beach volleyball."
rio-de-janeiro,🏔️,Corcovado & Sugarloaf,"Year-round — Christ the Redeemer, cable car, panoramic views."
rio-de-janeiro,🥁,Music & Samba,"Year-round — Lapa on Friday nights, Pedra do Sal, forró clubs."
rio-de-janeiro,👨‍👩‍👧,Family,"July–August — mild winter, botanical gardens, Niterói."
rio-de-janeiro,💰,Budget,"July–September — southern winter, fewer tourists, reasonable prices."
riviera-maya,🌊,Beach & Swimming,"December–April — calm sea, turquoise water, no sargassum."
riviera-maya,🏛️,Mayan Sites,November or March-April — Chichen Itza and Tulum less crowded.
riviera-maya,🤿,Diving & Cenotes,Year-round — rain doesn't bother you underwater.
riviera-maya,👨‍👩‍👧,Family,"December–March — school peak season, calm water, varied activities."
riviera-maya,💰,Tight Budget,"May or November — acceptable weather, -30-40% on accommodation."
rome,🏛️,Ancient Rome & Vatican,"March-May or September-October — Colosseum, Forum, Vatican without excessive crowds."
rome,🍕,Food & Dining,"Year-round — cacio e pepe, carbonara, supplì, artisan gelato."
rome,🌸,Roman Spring,"April–May — wisteria at Villa Borghese, azaleas at Spanish Steps, ideal temperatures."
rome,🏃,Rome Marathon,March — race through the UNESCO-listed historic centre.
rome,👨‍👩‍👧,Family,"June or September — Villa Borghese, Trevi Fountain, Ostia beach."
rome,💰,Budget,"November–March — hotels often cheaper, free basilicas, affordable dining."
santorin,🌅,Oia Sunset,"May, June or September — moderate crowds, perfect light, manageable wind."
santorin,🤿,Diving & Snorkelling,"July–August — water 25–26°C, maximum visibility."
santorin,📸,Photography,"September — amber light, less crowded terraces, exceptional sunsets."
santorin,👨‍👩‍👧,Family,"June — before the Meltemi, sea already warm (23°C), fewer crowds."
santorin,🚢,Cyclades Cruise,"May or October — pleasant temperatures, islands still open."
sardaigne,🏖️,Beach,"June–September — Costa Smeralda, Cala Goloritzé, some of the world's most beautiful turquoise waters."
sardaigne,🥾,Selvaggio Blu,"April–May or October — spectacular coastal trek, for experienced hikers only."
sardaigne,🏛️,Nuraghe & Archaeology,"April–May or October — Su Nuraxi (UNESCO), unique ancient civilisation."
sardaigne,🤿,Diving,"June–September — Maddalena, Asinara, remarkable wrecks."
sardaigne,👨‍👩‍👧,Family,"June or September — safe beaches, calm waters, fewer crowds."
sardaigne,💰,Budget,"May or October — affordable flights, accommodation -40%."
seville,🌸,Feria de Abril,"April — unmissable feria, flamenco, horses, unique atmosphere."
seville,🏛️,Alcázar & Cathedral,"March–May or October — visiting without crushing heat, shorter queues."
seville,🍷,Food & Tapas,"Year-round — tapas, manzanilla, jamón ibérico in Barrio Santa Cruz."
seville,👨‍👩‍👧,Family,"April or October — ideal temperatures, Isla Mágica, accessible parks."
seville,💰,Budget,"November–March — hotels -30%, fewer tourists, often sunny weather."
seville,🌙,Seville by Night,"Year-round — flamenco tablao, horse-drawn carriage rides, illuminated Giralda."
seychelles,🤿,Diving & Snorkelling,"April-May or October-November — calm sea between the 2 monsoons, excellent visibility."
seychelles,🏖️,Beach & Granite,"Year-round — Anse Source d'Argent, Anse Lazio, unique granite boulders."
seychelles,🐢,Giant Tortoises,"Year-round — Aldabra (UNESCO), Bird Island, Curieuse Island."
seychelles,🦜,Hiking & Wildlife,"April–May or October — Vallée de Mai (coco de mer), endemic birds."
seychelles,👨‍👩‍👧,Family,"December–April — calm sea, sheltered beaches, accessible wildlife."
seychelles,💰,Budget,"May-June or October — between seasons, slightly lower prices."
sicile,🏛️,Archaeology,"April–May or October — Agrigento, Selinunte, Segesta without 38°C heat."
sicile,🏖️,Beach,"July–August — Scala dei Turchi, San Vito Lo Capo, crystal-clear waters."
sicile,🍋,Food & Dining,"Year-round — arancini, cannoli. October: olive harvest."
sicile,👨‍👩‍👧,Family,"June or September — warm sea, bearable heat."
sicile,💰,Budget,"November or March — off-season, sites without queues."
siem-reap,🏛️,Angkor,"November–March — dry season, sunrise over Angkor Wat, Ta Prohm."
siem-reap,🌊,Tonlé Sap,"October–November — lake at full flood, impressive floating villages."
siem-reap,🎨,Khmer Culture,"Year-round — national museum, Apsara dance shows, local crafts."
siem-reap,🍜,Food & Dining,"Year-round — amok, lok lak, Pub Street night market."
siem-reap,👨‍👩‍👧,Family,"December–March — bearable temperatures, Angkor with the family."
siem-reap,💰,Budget,"June–September — monsoon, hotels often cheaper, temples nearly empty."
singapour,🌿,Gardens by the Bay,"Year-round — Supertrees, Cloud Forest, spectacular climate-controlled domes."
singapour,🍜,Hawker Food,"Year-round — Maxwell Food Centre, Lau Pa Sat, Chilli Crab, laksa."
singapour,🛍️,Shopping,"Year-round — Orchard Road, VivoCity, duty-free shops."
singapour,🏛️,Cultural Quarters,"Year-round — Chinatown, Little India, Kampong Glam, Clarke Quay."
singapour,👨‍👩‍👧,Family,"Year-round — Universal Studios, Singapore Zoo, S.E.A. Aquarium."
singapour,💰,Budget,Year-round — hawker centres among the cheapest in Southeast Asia.
split,🏖️,Beach & Islands,"June–September — Hvar, Brač (Zlatni Rat), Vis by ferry from Split."
split,🏛️,Diocletian's Palace,"April–May or October — living UNESCO site, apartments within the ancient walls."
split,🤿,Diving,"June–September — crystal-clear waters, Kornati National Park."
split,🥾,Mosor Mountain,April–May or October — hiking trails 30 min from Split.
split,👨‍👩‍👧,Family,"June or September — calm sea, beaches, ferries to the islands."
split,💰,Budget,"May or October — sea still pleasant, prices -40% vs July."
tenerife,🌋,Teide & Hiking,"October-May — Teide National Park (3,718m), exceptional starry sky."
tenerife,🏖️,Beach & Surfing,"Year-round — Las Teresitas (Saharan sand), El Médano (windsurfing)."
tenerife,🐋,Whale Watching,"Year-round — resident pilot whales, common dolphins."
tenerife,🌹,Carnival,February — world's 2nd biggest carnival after Rio de Janeiro.
tenerife,👨‍👩‍👧,Family,"Year-round — Loro Parque, Siam Park (Europe's best water park)."
tenerife,💰,Budget,"November–March — escape European cold, affordable flights and hotels."
tokyo,🌸,Sakura,"Late March–early April — Ueno, Chidorigafuchi, Shinjuku Gyoen, a unique spectacle."
tokyo,🍜,Food & Dining,"Year-round — more Michelin stars than Paris, ramen, sushi, izakaya."
tokyo,🍂,Kōyō (Autumn Leaves),"November — Nikko, Shinjuku Gyoen, Meiji Jingu, spectacular colours."
tokyo,🏛️,Culture & Temples,"April–May or October — Senso-ji, Meiji, Shibuya, without heat or humidity."
tokyo,👨‍👩‍👧,Family,"April or October — Tokyo Disneyland, teamLab, ideal temperatures."
tokyo,💰,Budget,"January–March — outside sakura, hotels often cheaper, yen favourable for Europeans."
toscane,🍷,Wine Tourism,"September–October — harvest, autumn colours, tastings. The most photogenic time of year in Chianti."
toscane,🏛️,Culture & Museums,"October-November or March-April — Florence less crowded, pleasant temperatures."
toscane,🥾,Hiking,"April-May or September-October — before/after the heat, walkable trails."
toscane,👨‍👩‍👧,Family,"June or September — swimmable sea (Tuscan coast), bearable heat."
toscane,📸,Photography,"September–October — amber light, colourful vines, morning mist in the valleys."
tulum,🏖️,Beach & Cenotes,"December–April — Playa Paraíso, crystal-clear cenotes, no sargassum."
tulum,🏛️,Mayan Ruins,"November–March — archaeological site at sunrise, less heat."
tulum,🤿,Diving & Cenotes,"Year-round — Sistema Dos Ojos, Gran Cenote, exceptional visibility."
tulum,👨‍👩‍👧,Family,"December–March — calm sea, nature activities, family resorts."
tulum,🌿,Yoga & Wellness,"Year-round — Tulum Pueblo, yoga retreats, healthy cuisine."
tulum,💰,Budget,"May-June — start of green season, prices -30%, quieter beaches."
valence,🥘,Paella & Food,"Year-round — authentic paella (birthplace of paella), central market."
valence,🎉,Las Fallas,"March (15-19) — one of the world's most spectacular festivals, UNESCO."
valence,🏖️,Beach,"June–September — La Malvarrosa, El Saler, Mediterranean waters."
valence,🚲,Riverside Park & Cycling,"Year-round — Turia riverbed park, 150 km cycling network."
valence,👨‍👩‍👧,Family,"June or September — City of Arts and Sciences, beach, L'Oceanogràfic."
valence,💰,Budget,"November–March — affordable hotels, 300 days of sunshine/year."
venise,🏛️,Culture & Museums,"April or October — Biennale, Gallerie dell'Accademia without summer crowds."
venise,🚶,Secret Venice,"September — Dorsoduro, Cannaregio, Castello without tourists."
venise,🎭,Carnival,February — unique but cold (3–10°C) and frequent acqua alta.
venise,👨‍👩‍👧,Family,"June or October — lagoon by boat, Murano (glass), Burano (colourful houses)."
venise,📸,Photography,"September or October — golden light, morning mist, empty gondolas."
vienne,🎵,Classical Music,"Year-round — Vienna Philharmonic, State Opera, concerts."
vienne,🏛️,Palaces & Museums,"April-May or September-October — Schönbrunn, Hofburg, Kunsthistorisches Museum."
vienne,☕,Viennese Coffeehouses,"Year-round — Café Central, Schwarzenberg, Sacher, UNESCO intangible heritage."
vienne,❄️,Christmas Markets,"December — Rathausplatz, Schönbrunn, Belvedere, among the finest in Europe."
vienne,👨‍👩‍👧,Family,"June–August — Prater & Ferris wheel, Schönbrunn Zoo, Danube Island."
vienne,💰,Budget,"January–March — hotels often cheaper, opera accessible, affordable Naschmarkt."
zakynthos,🐢,Caretta Turtles,June–August — nesting on Gerakas and Sekania beaches (protected access).
zakynthos,🏖️,Navagio & Beaches,"June–September — Shipwreck Beach (world icon), Blue Caves by boat."
zakynthos,🤿,Diving & Caves,"June–September — Blue Caves, Keri Caves, crystal-clear waters."
zakynthos,🥾,Hiking,"April–May or October — mountain villages, Bohali, island views."
zakynthos,👨‍👩‍👧,Family,"June or September — calm sea, turtles, safe beaches."
zakynthos,💰,Budget,"May or October — pleasant sea, accommodation prices -40%."
zanzibar,🏖️,Beach & Lagoon,"June-October or December-February — Nungwi, Kendwa, Paje, turquoise waters."
zanzibar,🤿,Diving & Snorkelling,"July–October — coral reef, turtles, dolphins at Kizimkazi."
zanzibar,🏛️,Stone Town,"Year-round — UNESCO site, Swahili culture, spice tours."
zanzibar,🐋,Whales & Dolphins,July–September — humpback whales migrating from Antarctica.
zanzibar,👨‍👩‍👧,Family,"July–August — calm sea, white sand beaches, turtles at Nungwi."
zanzibar,💰,Budget,"April-May or November — between seasons, accommodation -30%."
